ID_Muestra,Nombre_Mineral,Tipo_Mineral,Densidad_g_cm3,Dureza_Mohs,Pureza_Porcentaje,Peso_Muestra_kg,Volumen_cm3,Uso_Principal,Pais_Origen,Anio_Descubrimiento
300,Fosfato,Industrial,5.28,2.8,51.7,,,Tecnología,Australia,1721.0
301,Zinc,No Metálico,14.26x,5.3,97.89,490.454,884.19,Electrónica,China,1532.0
302,Cobre,No Metálico,1.67x,10.0,54.84,319.5,,Aleaciones,Australia,1662.0
303,Fosfato,Metálico,7.23,5.8,78.41,461.494,832.45,Industria Química,Australia,1517.0
304,Hierro,No Metálico,8.15,2.7,70.87,451.588,720.72,Generación de Energía,Indonesia,1934.0
305,Bauxita,Energético,7.74,8.3,,,912.89,Electrónica,India,1720.0
306,Azufre,No Metálico,12.8y,7.3,,,939.95,Tecnología,Chile,1976.0
307,Esmeralda,Precioso,19.66,9.7,72.81,5.992,766.96,Medicina,Ecuador,1997.0
308,Cuarzo,Precioso,17.15,9.8,90.84,277.04,932.77,Electrónica,Canadá,1593.0
309,Feldespato,Industrial,4.97,4.4,91.44,431.11,174.39,Automoción,Bolivia,1524.0
310,Caolín,Metálico,8.03,4.3,64.8,344.679,505.47,Generación de Energía,Colombia,1513.0
311,Barita,Metálico,19.82,9.1,70.61,327.923,8.51,Medicina,Ecuador,2008.0
312,Fosfato,Industrial,7.1,3.2,89.59,65.705,80.78,Cosméticos,Bolivia,1610.0
313,Uranio,No Metálico,,3.0,56.66,64.134,914.71,Tecnología,Bolivia,1907.0
314,Grafito,Precioso,4.58,,71.12,188.915,703.53,Automoción,Ecuador,1865.0
315,Calcita,Precioso,13.09,4.9,55.18,125.635,387.21,Aleaciones,Canadá,1977.0
316,Hierro,Precioso,7.33,6.3,95.11,0.81,849.79,Industria Química,Estados Unidos,1847.0
317,Cobre,Precioso,17.5,7.6,60.62,,646.36,Construcción,Canadá,2016.0
318,Plata,Metálico,14.48,6.9,61.07%,399.073,484.79,Cerámica,Brasil,1945.0
319,Cuarzo,Metálico,9.44,9.4,72.02,,501.12,Tecnología,Canadá,1888.0
320,Oro,Energético,12.66,3.9,76.01,,687.61,Cerámica,Kazajistán,1574.0
321,Carbón,No Metálico,8.67,3.6,85.7,33.492,511.69,Medicina,Bolivia,1838.0
322,Calcita,Industrial,17.74,8.5,85.56,384.865,595.82,Aleaciones,Ecuador,1631.0
323,Mercurio,Industrial,3.27,2.8,56.72,253.098,987.13,Industria Química,Canadá,1697.0
324,Yeso,No Metálico,19.01,9.7,85.69%,,67.3,Aleaciones,Kazajistán,1683.0
325,Calcita,Energético,12.9,8.5,92.68,411.663,31.41,Agricultura,Bolivia,1954.0
326,Níquel,No Metálico,,8.3,95.2,432.633,664.59,Cerámica,Argentina,1834.0
327,Fosfato,No Metálico,7.63,5.6,64.63,451.327,,Vidrio,Ecuador,1773.0
328,Diamante,Energético,6.12,5.7,50.19%,304.903,784.97,Automoción,Brasil,
329,Caolín,No Metálico,9.23,7.2,54.24,314.112,480.87,Joyería,Sudáfrica,2005.0
330,Esmeralda,Energético,14.46x,7.0,61.61%,69.262,19.83,Generación de Energía,Indonesia,
331,Hierro,No Metálico,11.62,,,482.872,440.56,Electrónica,China,1569.0
332,Azufre,No Metálico,5.7,9.8,,82.381,251.93,Agricultura,India,1561.0
333,Diamante,No Metálico,16.43,3.1,90.08,329.038,,Generación de Energía,Argentina,1932.0
334,Platino,No Metálico,9.31,8.6,54.14,304.022,965.62,Vidrio,Canadá,1561.0
335,Esmeralda,Precioso,19.08,9.2,54.16,201.061,,Construcción,Sudáfrica,1683.0
336,Bauxita,Energético,11.03y,7.1,95.32,,635.35,Joyería,Rusia,1821.0
337,Mercurio,Energético,3.24,2.0,86.71,137.148,,Electrónica,China,1670.0
338,Calcita,Industrial,18.77,4.8,73.3%,178.686,482.57,Vidrio,Australia,1832.0
339,Oro,Industrial,16.81,1.6,80.73,371.871,,Construcción,Perú,1826.0
340,Grafito,Metálico,,6.8,62.68,35.082,574.84,Automoción,Brasil,1987.0
341,Níquel,Industrial,,2.4,61.95%,497.558,423.81,Industria Química,Sudáfrica,1948.0
342,Níquel,Energético,8.81,10.0,54.68,90.199,171.96,Agricultura,Bolivia,1973.0
343,Caolín,No Metálico,15.55,7.8,,201.948,784.89,Medicina,China,1739.0
344,Grafito,Industrial,,9.2,87.05,,889.29,Industria Química,Ecuador,1568.0
345,Uranio,Metálico,4.33,2.0,56.77,19.929,,Medicina,Perú,1889.0
346,Esmeralda,Precioso,16.85,9.7,72.3,295.837,376.91,Cosméticos,Ecuador,1926.0
347,Platino,Industrial,8.28,3.6,54.6,250.938,477.09,Aleaciones,Chile,1818.0
348,Zinc,No Metálico,11.72,9.4,54.92,407.991,403.21,Construcción,Chile,
349,Hierro,No Metálico,6.06,3.9,50.67,416.542,550.45,Generación de Energía,Bolivia,1519.0
350,Azufre,Precioso,15.06y,1.9,,242.592,342.15,Agricultura,India,1717.0
351,Cobre,Energético,3.89,6.3,61.48,444.32,502.66,Automoción,Bolivia,1725.0
352,Plata,Metálico,14.1,1.0,70.08,345.579,299.05,Automoción,Brasil,1645.0
353,Esmeralda,Metálico,6.58,1.4,,178.117,587.77,Construcción,Estados Unidos,1510.0
354,Sal,Metálico,13.69,,52.41,412.752,983.78,Agricultura,Rusia,1740.0
355,Manganeso,Precioso,12.61,2.7,69.86,459.525,,Automoción,Rusia,1877.0
356,Cobre,Industrial,9.23,8.6,60.27,286.057,177.5,Industria Química,Sudáfrica,1568.0
357,Zinc,Precioso,7.47y,4.8,66.32,1.23,569.23,Medicina,China,1584.0
358,Carbón,No Metálico,3.64,,82.81,322.152,7.04,Joyería,Chile,1672.0
359,Fosfato,Metálico,7.13,7.9,55.55,374.364,91.47,Cosméticos,Perú,1998.0
360,Esmeralda,No Metálico,,,85.29,229.256,818.91,Agricultura,Rusia,1642.0
361,Cuarzo,Metálico,19.93,9.5,88.32,76.243,,Cerámica,Canadá,1870.0
362,Oro,Precioso,19.09,1.4,79.12,302.368,81.11,Cosméticos,China,1795.0
363,Hierro,Metálico,3.74,9.5,,3.993,634.6,Tecnología,China,1884.0
364,Piedra Caliza,Industrial,9.6,1.6,55.27,69.749,490.56,Joyería,Bolivia,1728.0
365,Zinc,Industrial,7.76,9.4,84.64,,,Aleaciones,Kazajistán,1558.0
366,Fosfato,Metálico,6.71,2.6,86.67,27.891,877.69,Aleaciones,Ecuador,1600.0
367,Barita,Metálico,12.75,2.6,93.75,302.167,576.84,Cosméticos,China,1675.0
368,Grafito,Energético,2.62,8.5,64.4,35.705,233.92,Vidrio,Indonesia,2002.0
369,Hierro,Industrial,,8.0,71.43,378.074,425.2,Agricultura,Indonesia,1658.0
370,Yeso,Industrial,1.63,2.7,83.6,322.787,995.96,Agricultura,Argentina,1748.0
371,Fosfato,Industrial,2.03,6.4,,457.216,459.85,Construcción,India,1658.0
372,Zinc,No Metálico,12.05x,9.6,64.56,289.525,222.42,Automoción,Australia,1508.0
373,Bauxita,Industrial,11.06,8.3,54.03,193.358,,Joyería,Estados Unidos,1655.0
374,Granito,No Metálico,17.84,9.7,93.13,175.821,531.14,Joyería,Sudáfrica,1577.0
375,Azufre,Precioso,13.78,4.1,,,274.18,Cerámica,Colombia,1694.0
376,Mercurio,No Metálico,16.77,6.5,85.5,,,Automoción,Kazajistán,1922.0
377,Cuarzo,No Metálico,8.87,2.1,88.74%,0.906,237.88,Medicina,Brasil,1963.0
378,Caolín,Industrial,14.74,8.4,74.41,94.915,187.48,Cosméticos,Estados Unidos,1535.0
379,Granito,Energético,18.63,6.0,63.22,347.998,,Generación de Energía,Australia,1655.0
380,Grafito,Energético,10.56,2.8,50.56,123.436,22.46,Cosméticos,Bolivia,1582.0
381,Sal,Metálico,7.36,8.8,56.48,,885.66,Cosméticos,Bolivia,1929.0
382,Hierro,Industrial,4.09,8.2,81.16%,199.05,187.12,Automoción,Rusia,1755.0
383,Bauxita,Precioso,,6.9,90.26,148.774,,Aleaciones,Ecuador,1775.0
384,Níquel,Industrial,5.02,5.2,,288.44,502.48,Cerámica,México,
385,Cuarzo,Metálico,13.66,8.4,83.51,336.338,450.25,Tecnología,Rusia,1707.0
386,Calcita,Precioso,19.3y,10.0,54.4,,852.85,Vidrio,México,1898.0
387,Cobre,Metálico,16.47x,,50.69,437.325,145.07,Generación de Energía,Colombia,1841.0
388,Yeso,Energético,1.63,,78.21,200.499,,Construcción,México,1956.0
389,Zinc,Metálico,11.19,7.0,54.29,120.699,931.25,Aleaciones,Rusia,1790.0
390,Níquel,Metálico,9.48,1.4,57.39,56.072,297.26,Generación de Energía,India,2009.0
391,Mercurio,Industrial,6.19,7.9,84.3,36.241,592.24,Automoción,China,1803.0
392,Feldespato,Industrial,12.12,4.7,,421.489,214.84,Joyería,Argentina,1787.0
393,Oro,No Metálico,11.58,9.3,,451.708,,Construcción,Bolivia,1769.0
394,Fosfato,Precioso,8.53,8.2,62.3,,478.87,Joyería,Bolivia,1655.0
395,Mercurio,Metálico,17.47,2.4,97.97,451.124,925.9,Medicina,Canadá,1858.0
396,Caolín,Energético,,1.9,53.28,331.63,917.79,Cerámica,Perú,1597.0
397,Fosfato,Industrial,,7.0,,133.277,870.05,Medicina,Bolivia,1941.0
398,Caolín,Energético,,9.6,95.0,403.478,471.49,Construcción,India,1600.0
399,Calcita,Industrial,,4.0,,189.137,,Electrónica,Brasil,1522.0
400,Piedra Caliza,Precioso,9.3,5.9,94.36,231.097,669.04,Cerámica,Ecuador,1673.0
401,Hierro,Energético,4.81,2.2,,7.571,230.63,Cerámica,Brasil,1550.0
402,Oro,Precioso,12.99,,68.17,283.41,322.26,Vidrio,Rusia,1997.0
403,Feldespato,Energético,7.74,2.3,86.63,493.1,,Vidrio,Estados Unidos,1690.0
404,Barita,Industrial,,2.6,66.59%,,334.54,Automoción,Chile,1742.0
405,Caolín,Metálico,8.55,5.7,,357.206,553.94,Electrónica,Sudáfrica,1639.0
406,Calcita,Industrial,10.11x,,68.78,1.692,986.39,Construcción,Colombia,1945.0
407,Uranio,Metálico,14.47,2.6,52.26,66.93,499.38,Tecnología,Estados Unidos,1976.0
408,Grafito,Industrial,18.53,4.0,82.65,,136.44,Generación de Energía,China,1599.0
409,Calcita,Industrial,19.27,2.3,,17.535,787.27,Automoción,Canadá,1521.0
410,Barita,Precioso,19.27y,5.1,97.29,469.121,,Tecnología,Sudáfrica,1958.0
411,Platino,No Metálico,6.98,3.8,56.25,62.056,705.0,Generación de Energía,México,1809.0
412,Granito,Precioso,1.62,3.1,79.24,250.205,344.67,Automoción,Perú,1817.0
413,Yeso,Metálico,6.97,3.0,82.15,149.428,923.14,Construcción,Perú,1767.0
414,Esmeralda,Energético,4.64,2.4,86.01,483.041,499.37,Agricultura,Australia,1643.0
415,Piedra Caliza,No Metálico,15.86,4.6,68.11,386.028,433.16,Vidrio,Chile,1901.0
416,Azufre,Energético,17.82y,9.0,,337.668,,Electrónica,Canadá,2021.0
417,Cuarzo,Industrial,17.88,9.7,86.8,,145.85,Agricultura,Canadá,
418,Bauxita,Energético,19.03,6.3,,373.075,669.62,Vidrio,Chile,1789.0
419,Manganeso,Energético,,5.4,93.78,474.308,751.45,Medicina,Sudáfrica,1868.0
420,Manganeso,Industrial,12.61,5.0,53.29,328.185,,Tecnología,Chile,1956.0
421,Plata,Energético,14.81,4.0,96.64,429.714,837.44,Agricultura,Chile,1797.0
422,Oro,Metálico,16.6,7.7,99.23,259.432,,Generación de Energía,Kazajistán,1688.0
423,Fosfato,Industrial,13.19x,1.8,61.5,208.2,926.44,Vidrio,Estados Unidos,1552.0
424,Plata,Precioso,,,,342.955,566.8,Automoción,Indonesia,1948.0
425,Zinc,Energético,10.68,7.1,80.0,258.864,27.33,Aleaciones,Bolivia,1732.0
426,Barita,Precioso,3.64,5.4,60.46,164.912,734.65,Joyería,Indonesia,1838.0
427,Grafito,Metálico,,3.3,57.15,7.593,584.88,Industria Química,Indonesia,1715.0
428,Manganeso,Energético,3.95,6.0,,491.521,114.37,Cerámica,México,1731.0
429,Cobre,Metálico,11.89,2.4,66.09,329.528,733.59,Medicina,Australia,1905.0
430,Níquel,Precioso,12.48,9.9,91.35,162.357,61.25,Industria Química,Brasil,1624.0
431,Calcita,Industrial,7.38x,9.2,62.04,365.541,851.21,Vidrio,Canadá,1933.0
432,Feldespato,Energético,16.37,8.7,65.19,,,Joyería,Estados Unidos,1669.0
433,Manganeso,Industrial,19.03,1.3,,244.69,576.19,Electrónica,Bolivia,1896.0
434,Azufre,Industrial,18.04,6.5,,467.573,84.06,Tecnología,Kazajistán,1944.0
435,Grafito,Metálico,18.38,1.5,58.15,,203.99,Vidrio,Colombia,1640.0
436,Fosfato,Metálico,7.65,,81.39,228.164,412.2,Industria Química,Chile,1768.0
437,Oro,Industrial,,6.1,97.96,,691.55,Agricultura,Brasil,1612.0
438,Bauxita,Energético,2.96,3.6,88.6,213.797,79.05,Construcción,Estados Unidos,1895.0
439,Esmeralda,No Metálico,5.45,6.2,,,,Joyería,Argentina,1836.0
440,Sal,Energético,19.77,2.0,93.15%,359.271,769.15,Generación de Energía,México,
441,Cobre,Precioso,19.74x,3.8,73.9,364.63,576.59,Generación de Energía,Argentina,1953.0
442,Carbón,Precioso,11.42,6.0,,361.485,409.97,Cosméticos,Canadá,2010.0
443,Níquel,Industrial,9.56,5.9,81.29,189.915,747.08,Vidrio,Argentina,1749.0
444,Hierro,Industrial,15.23y,1.3,56.33,380.639,,Joyería,Kazajistán,1989.0
445,Yeso,No Metálico,2.24,2.8,,302.814,469.99,Vidrio,Colombia,1897.0
446,Feldespato,Energético,,7.1,59.77,,,Aleaciones,Colombia,1952.0
447,Azufre,Industrial,,7.3,83.87,476.025,282.18,Aleaciones,Perú,1838.0
448,Carbón,Metálico,8.37,3.1,,150.886,175.18,Agricultura,Bolivia,1959.0
449,Bauxita,Energético,11.87,8.7,81.81,157.835,915.92,Generación de Energía,Brasil,1742.0
450,Oro,Industrial,8.1,6.3,72.59,316.629,,Cerámica,Chile,1561.0
451,Esmeralda,Industrial,4.92y,3.3,,75.699,353.52,Automoción,Perú,2012.0
452,Cuarzo,Metálico,4.73,3.3,74.86,209.632,129.53,Construcción,Canadá,1590.0
453,Zinc,No Metálico,4.0,4.6,63.83,494.562,493.39,Generación de Energía,Australia,1718.0
454,Esmeralda,Industrial,15.14,7.3,83.24,384.849,197.53,Cosméticos,Brasil,2013.0
455,Yeso,Energético,7.0y,9.2,94.47,176.525,136.48,Agricultura,India,1755.0
456,Bauxita,No Metálico,,9.5,77.99,,,Tecnología,Sudáfrica,1768.0
457,Bauxita,No Metálico,12.97,4.3,,274.375,573.45,Tecnología,India,1923.0
458,Hierro,Precioso,14.71,5.7,50.66,203.058,,Aleaciones,China,1700.0
459,Bauxita,Energético,10.92,5.5,66.4,129.662,805.16,Cosméticos,Estados Unidos,1934.0
460,Sal,No Metálico,16.86,1.1,69.77,296.493,711.66,Generación de Energía,Canadá,1835.0
461,Calcita,No Metálico,15.39,1.5,,353.887,25.43,Generación de Energía,Ecuador,1524.0
462,Hierro,Industrial,4.8,4.8,52.82,333.503,666.26,Agricultura,Rusia,1928.0
463,Platino,Precioso,6.87,4.9,,21.371,710.39,Tecnología,Australia,1611.0
464,Azufre,Industrial,,2.8,77.01,161.989,615.95,Electrónica,Sudáfrica,1595.0
465,Sal,Industrial,5.46,,,,,Construcción,México,1985.0
466,Grafito,Metálico,,2.1,83.49,80.782,531.75,Cerámica,México,1749.0
467,Zinc,Energético,7.93,4.9,57.94,121.78,355.68,Electrónica,Indonesia,1962.0
468,Sal,Metálico,12.96,3.5,83.78,365.21,139.14,Medicina,Perú,1907.0
469,Níquel,Energético,17.11,9.8,67.02,324.992,487.92,Medicina,China,
470,Caolín,No Metálico,7.72,5.1,51.43,476.998,,Joyería,Estados Unidos,1846.0
471,Calcita,Energético,9.4,5.5,61.63,440.679,805.69,Agricultura,Ecuador,1678.0
472,Feldespato,Metálico,15.7x,5.8,,372.836,318.54,Electrónica,Australia,1655.0
473,Feldespato,Energético,3.28,2.8,76.5,63.148,,Tecnología,Brasil,1511.0
474,Azufre,No Metálico,5.71,2.8,,297.488,309.69,Vidrio,Brasil,1710.0
475,Caolín,Metálico,7.89,1.7,67.3,400.297,,Cosméticos,India,1969.0
476,Hierro,Energético,19.34,9.5,97.63,184.074,469.41,Aleaciones,Sudáfrica,2021.0
477,Sal,Metálico,7.96,7.4,86.91,466.537,959.19,Aleaciones,Ecuador,1656.0
478,Zinc,Industrial,9.52,8.2,71.0,300.273,405.3,Agricultura,Argentina,1604.0
479,Oro,Energético,4.81,3.9,57.65,68.584,276.79,Cerámica,Bolivia,
480,Fosfato,Metálico,,6.4,72.79,,,Electrónica,Brasil,1524.0
481,Grafito,Precioso,14.19,9.5,81.62,463.965,28.21,Medicina,Bolivia,1612.0
482,Platino,Precioso,14.37,2.9,70.77,445.097,32.12,Tecnología,México,2008.0
483,Caolín,Industrial,9.03,6.3,77.9,71.508,,Automoción,India,1566.0
484,Granito,Energético,18.79,7.5,,269.237,609.34,Medicina,Indonesia,2006.0
485,Cuarzo,Precioso,11.73y,,96.02,255.96,633.83,Vidrio,Perú,1972.0
486,Plata,Energético,11.88,8.5,51.11%,282.315,718.58,Vidrio,Kazajistán,1654.0
487,Platino,Energético,,3.6,73.85,,,Joyería,Colombia,1663.0
488,Yeso,Precioso,4.91,3.0,65.61,439.471,,Joyería,India,1785.0
489,Esmeralda,No Metálico,,4.1,90.2,32.953,700.06,Aleaciones,Indonesia,1525.0
490,Diamante,Industrial,1.61,2.1,75.97,306.324,884.81,Automoción,Perú,1782.0
491,Grafito,Industrial,,4.3,79.49,,470.46,Tecnología,Ecuador,1657.0
492,Mercurio,Energético,,9.2,59.39,22.333,582.29,Aleaciones,India,1533.0
493,Níquel,No Metálico,19.94,2.2,92.18,111.382,489.41,Automoción,Colombia,1595.0
494,Hierro,No Metálico,3.06x,6.1,93.22,380.134,318.77,Tecnología,Australia,1572.0
495,Caolín,Industrial,4.11,,,219.087,855.54,Automoción,Brasil,1713.0
496,Zinc,Industrial,12.16,2.8,72.05,493.999,991.38,Construcción,Chile,1712.0
497,Caolín,No Metálico,1.14,1.3,64.66,2.774,937.93,Industria Química,Chile,1893.0
498,Cuarzo,Energético,3.51,4.9,,152.008,922.75,Medicina,Argentina,1607.0
499,Calcita,Precioso,18.78y,4.7,,335.425,455.63,Industria Química,Argentina,1845.0
500,Níquel,Metálico,16.53,3.5,86.36%,231.456,776.69,Cosméticos,Estados Unidos,1846.0
